
MAME4ALL GAME LIST (2270 romsets)
---------------------------------

Name:     Description:
gravitr2  "Gravitar (version 2)"
gravitar  "Gravitar (version 3)"
gtmre     "Great 1000 Miles Rally (Evolution Model)"
gtmr      "Great 1000 Miles Rally"
gsword    "Great Swordsman"
gberetb   "Green Beret (bootleg)"
gberet    "Green Beret"
gridiron  "Gridiron Fight"
grindstm  "Grind Stormer (Korea)"
grobda    "Grobda (New version)"
grobda2   "Grobda (Old version set 1)"
grobda3   "Grobda (Old version set 2)"
growlu    "Growl (US)"
growl     "Growl (World)"
gryzor    "Gryzor"
getstar   "Guardian"
gwar      "Guerrilla War (US)"
gwara     "Guerrilla War (Version 1)"
gwarb     "Guerrilla War (bootleg)"
gwarj     "Guevara (Japan)"
gmissile  "Guided Missile"
gunfront  "Gun & Frontier (World)"
gunbird   "Gun Bird (Japan)"
gundealr  "Gun Dealer (set 1)"
gundeala  "Gun Dealer (set 2)"
gunfight  "Gun Fight"
gunfronj  "Gun Frontier (Japan)"
gunhohki  "Gun Hohki (Japan)"
gunsmokj  "Gun.Smoke (Japan)"
gunsmrom  "Gun.Smoke (US set 1)"
gunsmoka  "Gun.Smoke (US set 2)"
gunsmoke  "Gun.Smoke (World)"
gunforcu  "Gunforce - Battle Fire Engulfed Terror Island (US)"
gunforce  "Gunforce - Battle Fire Engulfed Terror Island (World)"
gururin   "Gururin"
gutangtn  "Guttang Gottong"
guzzler   "Guzzler"
gypsyjug  "Gypsy Juggler"
gyrodine  "Gyrodine"
gyrussce  "Gyruss (Centuri)"
gyruss    "Gyruss (Konami)"
hal21j    "HAL21 (Japan)"
hal21     "HAL21"
hachoo    "Hachoo!"
hharryu   "Hammerin' Harry (US)"
hharry    "Hammerin' Harry (World)"
hanaawas  "Hana Awase (Flower Matching)"
hangon    "Hang-On"
hangly    "Hangly-Man (set 1)"
hangly2   "Hangly-Man (set 2)"
hardhat   "Hard Hat"
hardhead  "Hard Head"
hardhedb  "Hard Head (Bootleg)"
hpuncher  "Hard Puncher (Japan)"
hthero    "Hat Trick Hero (Japan)"
hattrick  "Hat Trick"
hatris    "Hatris (Japan)"
hcastle   "Haunted Castle (set 1)"
hcastlea  "Haunted Castle (set 2)"
headonb   "Head On (1 player)"
headon    "Head On (2 players)"
headon2   "Head On 2"
hbarrel   "Heavy Barrel (US)"
hbarrelw  "Heavy Barrel (World)"
hvymetal  "Heavy Metal"
hwchamp   "Heavyweight Champ"
heberpop  "Hebereke no Popoon (Japan)"
heiankyo  "Heiankyo Alien"
helifira  "HeliFire (revision A)"
helifire  "HeliFire (revision B)"
hellfire  "Hellfire"
herbiedk  "Herbie at the Olympics (DK conversion)"
hexa      "Hexa"
hiimpact  "High Impact Football (rev LA3 12/27/90)"
hwrace    "High Way Race"
hippodrm  "Hippodrome (US)"
hishouza  "Hishou Zame (Japan)"
hitnmis2  "Hit 'n Miss (version 2.0)"
hitnmiss  "Hit 'n Miss (version 3.0)"
hitice    "Hit the Ice (US)"
hoccer    "Hoccer (set 1)"
hoccer2   "Hoccer (set 2)"
homo      "Homo"
hooku     "Hook (US)"
hook      "Hook (World)"
hopprobo  "Hopper Robo"
hopmappy  "Hopping Mappy"
hotchase  "Hot Chase"
hotshock  "Hot Shocker"
hunchbkd  "Hunchback (Donkey Kong conversion)"
hunchbks  "Hunchback (Scramble hardware)"
hustle    "Hustle"
thehustj  "Hustler, The (Japan version J)"
thehustl  "Hustler, The (Japan version M)"
hydrap    "Hydra (prototype)"
hydra     "Hydra"
hyprolyb  "Hyper Olympic (bootleg)"
hyprolym  "Hyper Olympic"
hpolym84  "Hyper Olympics '84"
hypsptsp  "Hyper Sports Special (Japan)"
hyperspt  "Hyper Sports"
imsorryj  "I'm Sorry (Japan)"
imsorry   "I'm Sorry (US)"
irobot    "I, Robot"
iganinju  "Iga Ninjyutsuden (Japan)"
ikari3    "Ikari III - The Rescue"
ikarijpb  "Ikari Warriors (Japan bootleg)"
ikarijp   "Ikari Warriors (Japan)"
ikari     "Ikari Warriors (US)"
imgfight  "Image Fight (Japan)"
inthuntu  "In The Hunt (US)"
inthunt   "In The Hunt (World)"
indytemp  "Indiana Jones and the Temple of Doom (set 1)"
indytem2  "Indiana Jones and the Temple of Doom (set 2)"
indytem3  "Indiana Jones and the Temple of Doom (set 3)"
indytem4  "Indiana Jones and the Temple of Doom (set 4)"
inferno   "Inferno"
insector  "Insector (prototype)"
insectx   "Insector X (World)"
intrepid  "Intrepid (set 1)"
intrepi2  "Intrepid (set 2)"
invrvnga  "Invader's Revenge (Dutchford)"
invrvnge  "Invader's Revenge"
invds     "Invinco / Deep Scan"
invho2    "Invinco / Head On 2"
invinco   "Invinco"
skingame  "Irem Skins Game, The (US set 1)"
skingam2  "Irem Skins Game, The (US set 2)"
ironhors  "Iron Horse"
offroadt  "Ironman Stewart's Super Off-Road Track Pack"
offroad   "Ironman Stewart's Super Off-Road"
irrmaze   "Irritating Maze / Ultra Denryu Iraira Bou, The"
jackrabt  "Jack Rabbit (set 1)"
jackrab2  "Jack Rabbit (set 2)"
jackrabs  "Jack Rabbit (special)"
jack      "Jack the Giantkiller (set 1)"
jack2     "Jack the Giantkiller (set 2)"
jack3     "Jack the Giantkiller (set 3)"
jackal    "Jackal (World)"
zaxxonb   "Jackson"
jailbrek  "Jail Break"
jspecter  "Jatre Specter"
joemac    "Joe & Mac (Japan)"
teamqb2   "John Elway's Team Quarterback (set 2)"
teamqb    "John Elway's Team Quarterback"
journey   "Journey"
joustr    "Joust (Solid Red label)"
joust     "Joust (White/Green label)"
joustwr   "Joust (White/Red label)"
joust2    "Joust 2 - Survival of the Fittest (set 1)"
joyfulr   "Joyful Road (US)"
jrpacman  "Jr. Pac-Man"
jumpbugb  "Jump Bug (bootleg)"
jumpbug   "Jump Bug"
jumpcoas  "Jump Coaster"
jumpshot  "Jump Shot"
jjack     "Jumping Jack"
jumping   "Jumping"
jungleh   "Jungle Hunt (US)"
junglek   "Jungle King (Japan)"
junglkj2  "Jungle King (Japan, earlier)"
junglers  "Jungler (Stern)"
jungler   "Jungler"
junofstg  "Juno First (Gottlieb)"
junofrst  "Juno First"
janshin   "Jyanshin Densetsu - Quest of Jongmaster"
jyuohki   "Jyuohki (Japan)"
kabukikl  "Kabuki Klash - Far East of Eden / Tengai Makyou Shinden - Far East of Eden"
kagekij   "Kageki (Japan)"
kageki    "Kageki (US)"
yanchamr  "Kaiketsu Yanchamaru (Japan)"
kaiteids  "Kaitei Daisensou (Japan)"
kaitein   "Kaitei Takara Sagashi (Namco)"
kaitei    "Kaitei Takara Sagashi"
kamikaze  "Kamikaze"
kangaroa  "Kangaroo (Atari)"
kangarob  "Kangaroo (bootleg)"
kangaroo  "Kangaroo"
kaos      "Kaos"
karatblu  "Karate Blazers (US)"
karatblz  "Karate Blazers (World?)"
kchampvs  "Karate Champ (US VS version)"
kchamp    "Karate Champ (US)"
karatedo  "Karate Dou (Japan)"
karianx   "Karian Cross"
karnovj   "Karnov (Japan)"
karnov    "Karnov (US)"
karnovr   "Karnov's Revenge / Fighter's History Dynamite"
kikikai   "KiKi KaiKai"
kicka     "Kick (cocktail)"
kick      "Kick (upright)"
kickoff   "Kick Off (Japan)"
kickridr  "Kick Rider"
kikstart  "Kick Start Wheelie King"
kicknrun  "Kick and Run"
kicker    "Kicker"
kidniki   "Kid Niki - Radical Ninja (US)"
killcom   "Killer Comet"
kingbalj  "King & Balloon (Japan)"
kingball  "King & Balloon (US)"
kingofb   "King of Boxer (English)"
kodj      "King of Dragons, The (Japan)"
kod       "King of Dragons, The (World)"
kodb      "King of Dragons, The (bootleg)"
kof94     "King of Fighters '94, The"
kof95     "King of Fighters '95, The"
kof96     "King of Fighters '96, The"
kof97     "King of Fighters '97, The"
kof98     "King of Fighters '98 - The Slugfest / King of Fighters '98 - dream match never ends, The"
kotm2     "King of the Monsters 2 - The Next Thing"
kotm      "King of the Monsters"
kizuna    "Kizuna Encounter - Super Tag Battle / Fu'un Super Tag Battle"
klaxj     "Klax (Japan)"
klax      "Klax (set 1)"
klax2     "Klax (set 2)"
klax3     "Klax (set 3)"
knightsj  "Knights of the Round (Japan)"
knights   "Knights of the Round (World)"
knockout  "Knock Out !!"
kbash     "Knuckle Bash"
kncljoe   "Knuckle Joe (set 1)"
kncljoea  "Knuckle Joe (set 2)"
kodure    "Kodure Ookami (Japan)"
rockragj  "Koi no Hotrock (Japan)"
konami88  "Konami '88"
konamigt  "Konami GT"
rf2       "Konami RF2 - Red Fighter"
legofair  "Koukuu Kihei Monogatari - The Legend of Air Cavalry"
kroozr    "Kozmik Kroozr"
kram      "Kram (set 1)"
kram2     "Kram (set 2)"
krull     "Krull"
kuhga     "Kuhga - Operation Code 'Vapor Trail' (Japan revision 3)"
kungfud   "Kung Fu Master (Data East)"
kungfub   "Kung Fu Master (bootleg set 1)"
kungfub2  "Kung Fu Master (bootleg set 2)"
kungfum   "Kung Fu Master"
kurikint  "Kuri Kinton (World)"
kurikina  "Kuri Kinton (prototype?)"
brkthruj  "Kyohkoh-Toppa (Japan)"
kyros     "Kyros"
ktiger    "Kyukyoku Tiger (Japan)"
kyukaidk  "Kyuukai Douchuuki (Japan new version)"
kyukaido  "Kyuukai Douchuuki (Japan old version)"
labyrunr  "Labyrinth Runner (Japan)"
ladybugb  "Lady Bug (bootleg)"
ladybug   "Lady Bug"
lagunar   "Laguna Racer"
lsasquad  "Land Sea Air Squad / Riku Kai Kuu Saizensen"
laser     "Laser"
lasso     "Lasso"
lastblad  "Last Blade / Bakumatsu Roman - Gekkano Kenshi, The"
lastbld2  "Last Blade 2 / Bakumatsu Roman - Dai Ni Maku Gekkano Kenshi, The"
lastduel  "Last Duel (US set 1)"
lstduela  "Last Duel (US set 2)"
lstduelb  "Last Duel (bootleg)"
lastmss2  "Last Mission (US revision 5)"
lastmiss  "Last Mission (US revision 6)"
lresort   "Last Resort"
lazercmd  "Lazer Command"
bagnard   "Le Bagnard"
lbowling  "League Bowling"
ledstorm  "Led Storm (US)"
loht      "Legend of Hero Tonma"
lkageb    "Legend of Kage, The (bootleg set 1)"
lkageb2   "Legend of Kage, The (bootleg set 2)"
lkageb3   "Legend of Kage, The (bootleg set 3)"
lkage     "Legend of Kage, The"
lomakai   "Legend of Makai (World)"
legendos  "Legend of Success Joe / Ashitano Joe Densetsu"
valkyrie  "Legend of the Valkyrie (Japan)"
lwings    "Legendary Wings (US set 1)"
lwings2   "Legendary Wings (US set 2)"
leprechn  "Leprechaun"
lethalth  "Lethal Thunder (World)"
levers    "Levers"
liberatr  "Liberator (set 1)"
lifefrcj  "Lifeforce (Japan)"
lifefrce  "Lifeforce (US)"
lgtnfght  "Lightning Fighters (US)"
liquidku  "Liquid Kids (US)"
liquidk   "Liquid Kids (World)"
lizwiz    "Lizard Wizard"
lnc       "Lock'n'Chase"
locomotn  "Loco-Motion"
ldrun     "Lode Runner (set 1)"
ldruna    "Lode Runner (set 2)"
ldrun2    "Lode Runner II - The Bungeling Strikes Back"
ldrun3    "Lode Runner III - Majin No Fukkatsu"
ldrun4    "Lode Runner IV - Teikoku Karano Dasshutsu"
logicpro  "Logic Pro"
logicpr2  "Logic Pro 2 (Japan)"
looper    "Looper"
lordofk   "Lord of King, The (Japan)"
losttomb  "Lost Tomb (easy)"
losttmbh  "Lost Tomb (hard)"
lostwrld  "Lost Worlds (Japan)"
lotlot    "Lot Lot"
llander1  "Lunar Lander (rev 1)"
llander   "Lunar Lander (rev 2)"
lrescue   "Lunar Rescue"
lupin3    "Lupin III"
m4        "M-4"
mach3     "M.A.C.H. 3"
m79amb    "M79 Ambush"
mx5000    "MX5000"
machomou  "Macho Mouse"
madcrash  "Mad Crasher"
madgearj  "Mad Gear (Japan)"
madgear   "Mad Gear (US)"
madmotor  "Mad Motor"
mplanets  "Mad Planets"
mbrush    "Magic Brush"
mswordj   "Magic Sword (Japan)"
mswordu   "Magic Sword - Heroic Fantasy (US)"
msword    "Magic Sword - Heroic Fantasy (World)"
magdrop2  "Magical Drop II"
magdrop3  "Magical Drop III"
magspot2  "Magical Spot II"
maglord   "Magician Lord (set 1)"
maglordh  "Magician Lord (set 2)"
magix     "Magix"
mgakuen2  "Mahjong Gakuen 2 Gakuen-chou no Fukushuu"
mgakuen   "Mahjong Gakuen"
mahretsu  "Mahjong Kyoretsuden"
mjnquest  "Mahjong Quest (Japan)"
mjnquesb  "Mahjong Quest (No Nudity)"
mahoudai  "Mahou Daisakusen (Japan)"
mainevt2  "Main Event, The (version F)"
mainevt   "Main Event, The (version Y)"
majest12  "Majestic Twelve - The Space Invaders Part IV (Japan)"
mhavocrv  "Major Havoc (Return to Vax)"
mhavocp   "Major Havoc (prototype)"
mhavoc2   "Major Havoc (rev 2)"
mhavoc    "Major Havoc (rev 3)"
mjleague  "Major League"
majtitle  "Major Title (Japan)"
majtitl2  "Major Title 2 (World)"
majuu     "Majuu no Ohkoku"
makaiden  "Makai Densetsu (Japan)"
makaimuc  "Makai-Mura (Revision C)"
makaimug  "Makai-Mura (Revision G)"
makaimur  "Makai-Mura"
maketrax  "Make Trax"
makyosen  "Makyou Senshi (Japan)"
maniach   "Mania Challenge (set 1)"
maniach2  "Mania Challenge (set 2)"
mappyjp   "Mappy (Japan)"
mappy     "Mappy (US)"
marble    "Marble Madness (set 1)"
marble2   "Marble Madness (set 2)"
marblea   "Marble Madness (set 3)"
mmaze     "Marchen Maze (Japan)"
marineb   "Marine Boy"
mariner   "Mariner"
mariojp   "Mario Bros. (Japan)"
mario     "Mario Bros. (US)"
mars      "Mars"
marvlanj  "Marvel Land (Japan)"
marvland  "Marvel Land (US)"
marvins   "Marvin's Maze"
masao     "Masao"
masterw   "Master of Weapon (World)"
matmania  "Mat Mania"
maxrpm    "Max RPM"
mayday    "Mayday (set 1)"
maydaya   "Mayday (set 2)"
mayhem    "Mayhem 2002"
medlanes  "Meadows Lanes"
megaforc  "Mega Force"
megaman   "Mega Man - The Power Battle (Asia)"
mtwins    "Mega Twins (World)"
megaznik  "Mega Zone (Kosuka)"
megazone  "Mega Zone"
megatack  "MegaTack"
kikcubic  "Meikyu Jima (Japan)"
meikyuh   "Meikyuu Hunter G (Japan)"
mercsu    "Mercs (US)"
mercs     "Mercs (World)"
mermaid   "Mermaid"
metafox   "Meta Fox"
mslug     "Metal Slug - Super Vehicle-001"
mslug2    "Metal Slug 2 - Super Vehicle-001/II"
meteor    "Meteoroids"
metrocrs  "Metro-Cross"
mexico86  "Mexico 86"
midresj   "Midnight Resistance (Japan)"
midresu   "Midnight Resistance (US)"
midres    "Midnight Resistance (World)"
mikiehs   "Mikie (High School Graffiti)"
mikie     "Mikie"
milliped  "Millipede"
minefld   "Minefield"
minigolf  "Mini Golf (set 1)"
minigol2  "Mini Golf (set 2)"
minivadr  "Minivader"
mmonkey   "Minky Monkey"
minasan   "Minnasanno Okagesamadesu"
mirninja  "Mirai Ninja (Japan)"
missile   "Missile Command (set 1)"
missile2  "Missile Command (set 2)"
miaj      "Missing in Action (Japan)"
mia2      "Missing in Action (version S)"
mia       "Missing in Action (version T)"
mrvikinj  "Mister Viking (Japan)"
mrviking  "Mister Viking"
mizubaku  "Mizubaku Daibouken (Japan)"
moguchan  "Moguchan"
mole      "Mole Attack"
momoko    "Momoko 120%"
monymony  "Money Money"
miexchng  "Money Puzzle Exchanger / Money Idol Exchanger"
monkeyd   "Monkey Donkey"
monsterb  "Monster Bash"
moonal2b  "Moon Alien Part 2 (older version)"
moonal2   "Moon Alien Part 2"
moonbase  "Moon Base"
mooncrsg  "Moon Cresta (Gremlin)"
mooncrst  "Moon Cresta (Nichibutsu)"
mooncrgx  "Moon Cresta (bootleg on Galaxian hardware)"
mooncrsb  "Moon Cresta (bootleg set 1)"
mooncrs2  "Moon Cresta (bootleg set 2)"
mpatrolw  "Moon Patrol (Williams)"
mpatrol   "Moon Patrol"
moonqsr   "Moon Quasar"
mranger   "Moon Ranger"
moonwalk  "Moon Walker (Set 1)"
moonwlka  "Moon Walker (Set 2)"
moonwlkb  "Moon Walker (bootleg)"
moonwar2  "Moon War II (set 1)"
monwar2a  "Moon War II (set 2)"
mkla1     "Mortal Kombat (rev 1.0 08/08/92)"
mkla2     "Mortal Kombat (rev 2.0 08/18/92)"
mkla3     "Mortal Kombat (rev 3.0 08/31/92)"
mkla4     "Mortal Kombat (rev 4.0 09/28/92)"
mk        "Mortal Kombat (rev 5.0 T-Unit 03/19/93)"
mk3r10    "Mortal Kombat 3 (rev 1.0)"
mk3r20    "Mortal Kombat 3 (rev 2.0)"
mk3       "Mortal Kombat 3 (rev 2.1)"
mk2r14    "Mortal Kombat II (rev L1.4)"
mk2       "Mortal Kombat II (rev L3.1)"
mk2r32    "Mortal Kombat II (rev L3.2 (European))"
motorace  "MotoRace USA"
motos     "Motos"
mtrap3    "Mouse Trap (version 3)"
mtrap4    "Mouse Trap (version 4)"
mtrap     "Mouse Trap (version 5)"
douni     "Mr. Do vs. Unicorns"
mrdot     "Mr. Do! (Taito)"
mrdo      "Mr. Do! (Universal)"
mrdoy     "Mr. Do! (Yukidaruma)"
mrdofix   "Mr. Do! (bugfixed)"
docastle  "Mr. Do's Castle (set 1)"
docastl2  "Mr. Do's Castle (set 2)"
dowild    "Mr. Do's Wild Ride"
mrdu      "Mr. Du!"
mrgoemon  "Mr. Goemon (Japan)"
mrheli    "Mr. HELI no Dai-Bouken"
mrjong    "Mr. Jong (Japan)"
mrlo      "Mr. Lo!"
mrtnt     "Mr. TNT"
mspacatk  "Ms. Pac-Man Plus"
mspacman  "Ms. Pac-Man"
mnchmobl  "Munch Mobile (Japan)"
mbomberj  "Muscle Bomber - The Body Explosion (Japan)"
mbombrdj  "Muscle Bomber Duo - Heat Up Warriors (Japan)"
mbombrd   "Muscle Bomber Duo - Ultimate Team Battle (World)"
mnight    "Mutant Night"
mutnat    "Mutation Nation"
myherok   "My Hero (Korea)"
myhero    "My Hero (US)"
mystston  "Mysterious Stones"
mysticm   "Mystic Marathon"
mysticri  "Mystic Riders (World)"
nam1975   "NAM-1975"
nbajamr2  "NBA Jam (rev 2.00 02/10/93)"
nbajam    "NBA Jam (rev 3.01 04/07/93)"
nbajamt1  "NBA Jam TE (rev 1.0 01/17/94)"
nbajamt2  "NBA Jam TE (rev 2.0 01/28/94)"
nbajamt3  "NBA Jam TE (rev 3.0 03/04/94)"
nbajamte  "NBA Jam TE (rev 4.0 03/23/94)"
nbamaxht  "NBA Maximum Hangtime (rev 1.0)"
nametune  "Name That Tune"
narc3     "Narc (rev 3.20)"
narc      "Narc (rev 7.00)"
nastar    "Nastar (World)"
nastarw   "Nastar Warrior (US)"
naughtyc  "Naughty Boy (Cinematronics)"
naughtya  "Naughty Boy (bootleg)"
naughtyb  "Naughty Boy"
navalone  "Navalone"
nebulbee  "Nebulous Bee"
kuniokub  "Nekketsu Kouha Kunio-kun (Japan bootleg)"
kuniokun  "Nekketsu Kouha Kunio-kun (Japan)"
nemesuk   "Nemesis (World?)"
nemesis   "Nemesis (hacked?)"
nemoj     "Nemo (Japan)"
nemo      "Nemo (World)"
neobombe  "Neo Bomberman"
neodrift  "Neo Drift Out - New Technology"
neomrdo   "Neo Mr. Do!"
turfmast  "Neo Turf Masters / Big Tournament Golf"
neocup98  "Neo-Geo Cup '98 - The Road to the Victory"
puckman   "New Puck-X"
nrallyx   "New Rally X"
newsin7   "New Sinbad 7"
tnzs2     "NewZealand Story 2, The (World)"
tnzs      "NewZealand Story, The (Japan)"
tnzsb     "NewZealand Story, The (World, bootleg)"
nibbler   "Nibbler (set 1)"
nibblera  "Nibbler (set 2)"
nitedrvr  "Night Driver"
nstocker  "Night Stocker"
ncombat   "Ninja Combat"
ncommand  "Ninja Commando"
ninjemak  "Ninja Emaki (US)"
gaiden    "Ninja Gaiden (World)"
ninjakd2  "Ninja Kid II (set 1)"
ninjak2a  "Ninja Kid II (set 2)"
ninjak2b  "Ninja Kid II (set 3)"
ninjakj   "Ninja Kids (Japan)"
ninjak    "Ninja Kids (World)"
ninjamas  "Ninja Master's - haoh-ninpo-cho"
nprincsb  "Ninja Princess (bootleg?)"
nprincsu  "Ninja Princess (not encrypted)"
nprinces  "Ninja Princess"
ryukendn  "Ninja Ryukenden (Japan)"
nspirit   "Ninja Spirit"
nomnlndg  "No Man's Land (Gottlieb)"
nomnlnd   "No Man's Land"
nova2001  "Nova 2001 (Japan)"
nov2001u  "Nova 2001 (US)"
nunchaku  "Nunchackun"
offtwalc  "Off the Wall (2-player cocktail)"
offtwall  "Off the Wall (2/3-player upright)"
otwalls   "Off the Wall (Sente)"
ohmygod   "Oh My God! (Japan)"
ogonsiro  "Ohgon no Siro (Japan)"
olibochu  "Oli-Boo-Chu"
omegrace  "Omega Race"
ragnagrd  "Operation Ragnagard / Shin-Oh-Ken"
orbitron  "Orbitron"
ordyne    "Ordyne (Japan)"
outrun    "Out Run (set 1)"
outruna   "Out Run (set 2)"
outrunb   "Out Run (set 3)"
outzonep  "Out Zone (bootleg)"
outzone   "Out Zone"
overtop   "Over Top"
ozmawars  "Ozma Wars"
p47j      "P-47 - The Freedom Fighter (Japan)"
p47       "P-47 - The Phantom Fighter (World)"
pow       "P.O.W. - Prisoners of War (US)"
pacnpal2  "Pac & Pal (older)"
pacnpal   "Pac & Pal"
pacgal    "Pac-Gal"
paclandm  "Pac-Land (Midway)"
pacland   "Pac-Land (set 1)"
pacland2  "Pac-Land (set 2)"
pacland3  "Pac-Land (set 3)"
pacnchmp  "Pac-Man & Chomp Chomp"
pacheart  "Pac-Man (Hearts)"
pacmanm   "Pac-Man (Midway)"
pacmod    "Pac-Man (Midway, harder)"
pacmanbl  "Pac-Man (bootleg on Galaxian hardware)"
pacplus   "Pac-Man Plus"
pacmanij  "Pac-Mania (Japan)"
pacmania  "Pac-Mania"
paintrlr  "Paint Roller"
palamed   "Palamedes (Japan)"
pandoras  "Pandora's Palace"
pang      "Pang (World)"
pangb     "Pang (bootleg)"
pang3     "Pang! 3 (Euro)"
pang3j    "Pang! 3 (Japan)"
panicbom  "Panic Bomber"
paperboy  "Paperboy"
parodius  "Parodius DA! (Japan)"
passshtb  "Passing Shot (2 Players) (bootleg)"
passsht   "Passing Shot (2 Players)"
passht4b  "Passing Shot (4 Players) (bootleg)"
peekaboo  "Peek-a-Boo!"
pengo     "Pengo (set 1)"
pengo2u   "Pengo (set 2 not encrypted)"
pengo2    "Pengo (set 2)"
pkunwarj  "Penguin-Kun Wars (Japan)"
pkunwar   "Penguin-Kun Wars (US)"
penta     "Penta"
pepper2   "Pepper II"
percuss   "Percussor, The"
psoldier  "Perfect Soldiers (Japan)"
peterpak  "Peter Pack-Rat"
phantasm  "Phantasm (Japan)"
phantom2  "Phantom II"
phelios   "Phelios (Japan)"
phoenix   "Phoenix (Amstar)"
phoenixa  "Phoenix (Centuri)"
phoenixc  "Phoenix (IRECSA, G.G.I Corp)"
phoenix3  "Phoenix (T.P.N.)"
phoenixt  "Phoenix (Taito)"
phozon    "Phozon"
pickin    "Pickin'"
pignewta  "Pig Newton (version A)"
pignewt   "Pig Newton (version C)"
pigouta   "Pigout (alternate)"
pigout    "Pigout"
pigskin   "Pigskin 621AD"
pbaction  "Pinball Action (set 1)"
pbactio2  "Pinball Action (set 2)"
pinbos    "Pinbo (Strike)"
pinbo     "Pinbo"
pingpong  "Ping Pong"
pballoon  "Pioneer Balloon"
pipedrm   "Pipe Dream (Japan)"
pipibibs  "Pipi & Bibis / Whoopee (Japan)"
pipibibi  "Pipi & Bibis / Whoopee (Japan) [bootleg ?]"
piranha   "Piranha"
higemaru  "Pirate Ship HigeMaru"
pisces    "Pisces"
pistoldm  "Pistol Daimyo no Bouken (Japan)"
pitfigh3  "Pit Fighter (version 3)"
pitfight  "Pit Fighter (version 4)"
thepit    "Pit, The"
pitfallu  "Pitfall II (not encrypted)"
pitfall2  "Pitfall II"
plgirls   "Play Girls"
plgirls2  "Play Girls 2"
pgoal     "Pleasure Goal / Futsal - 5 on 5 Mini Soccer"
pleiadce  "Pleiads (Centuri)"
pleiads   "Pleiads (Tehkan)"
pleiadbl  "Pleiads (bootleg)"
plotting  "Plotting (World)"
plumppop  "Plump Pop (Japan)"
plusalph  "Plus Alpha"
pnickj    "Pnickies (Japan)"
pcktgal   "Pocket Gal (Japan)"
pcktgalb  "Pocket Gal (bootleg)"
pcktgal2  "Pocket Gal 2 (World?)"
pkladies  "Poker Ladies"
polaris   "Polaris (set 1)"
polarisa  "Polaris (set 2)"
polepos1  "Pole Position (Atari version 1)"
poleposa  "Pole Position (Atari version 2)"
poleps2b  "Pole Position II (Atari bootleg 1)"
poleps2c  "Pole Position II (Atari bootleg 2)"
poleps2a  "Pole Position II (Atari)"
polepos2  "Pole Position II"
polepos   "Pole Position"
polyplay  "Poly-Play"
pompingw  "Pomping World (Japan)"
ponpokov  "Ponpoko (Venture Line)"
ponpoko   "Ponpoko"
pootan    "Pootan"
pooyans   "Pooyan (Stern)"
pooyan    "Pooyan"
popbounc  "Pop 'n Bounce / Gapporin"
popflame  "Pop Flamer (set 1)"
popflama  "Pop Flamer (set 2)"
popeyebl  "Popeye (bootleg)"
popeye    "Popeye (set 1)"
popeye2   "Popeye (set 2)"
portman   "Port Man"
potogold  "Pot of Gold"
poundfou  "Pound for Pound (US)"
poundfor  "Pound for Pound (World)"
powerdrv  "Power Drive"
powerins  "Power Instinct (USA) [bootleg]"
pspikes   "Power Spikes (Korea)"
pspikes2  "Power Spikes II"
psurge    "Power Surge"
prehislu  "Prehistoric Isle in 1930 (US)"
prehisle  "Prehistoric Isle in 1930 (World)"
psychic5  "Psychic 5"
psychosj  "Psycho Soldier (Japan)"
psychos   "Psycho Soldier (US)"
oscarj0   "Psycho-Nics Oscar (Japan revision 0)"
oscarj1   "Psycho-Nics Oscar (Japan revision 1)"
oscarj    "Psycho-Nics Oscar (Japan revision 2)"
oscar     "Psycho-Nics Oscar (US)"
pulirulj  "PuLiRuLa (Japan)"
pulirula  "PuLiRuLa (World)"
pacman    "PuckMan (Japan set 1)"
pacmanjp  "PuckMan (Japan set 2)"
npacmod   "PuckMan (harder?)"
pulsar    "Pulsar"
pulstar   "Pulstar"
punchout  "Punch-Out!!"
punishrj  "Punisher, The (Japan)"
punishru  "Punisher, The (US)"
punisher  "Punisher, The (World)"
punksht2  "Punk Shot (2 Players)"
punkshot  "Punk Shot (4 Players)"
puzbobb   "Puzzle Bobble (Japan, B-System)"
pbobble   "Puzzle Bobble / Bust-A-Move (Neo-Geo)"
puzlclub  "Puzzle Club (Japan prototype)"
puzzldpr  "Puzzle De Pon R"
puzzledp  "Puzzle De Pon"
joyjoy    "Puzzled / Joy Joy Kid"
puzznic   "Puzznic (Japan)"
pyros     "Pyros (US)"
qbertjp   "Q*bert (Japan)"
qbert     "Q*bert (US)"
qbertqub  "Q*bert's Qubes"
qix       "Qix (set 1)"
qixa      "Qix (set 2)"
qixb      "Qix (set 3)"
qix2      "Qix II (Tournament)"
quantump  "Quantum (prototype)"
quantum1  "Quantum (rev 1)"
quantum   "Quantum (rev 2)"
quartrba  "Quarterback (set 2)"
quarterb  "Quarterback"
quartetj  "Quartet (Japan)"
quartet2  "Quartet II"
quartet   "Quartet"
quarth    "Quarth (Japan)"
quester   "Quester (Japan)"
qadj      "Quiz & Dragons (Japan)"
qad       "Quiz & Dragons (US)"
qzchikyu  "Quiz Chikyu Bouei Gun (Japan)"
qcrayon   "Quiz Crayon Shinchan (Japan)"
qcrayon2  "Quiz Crayon Shinchan Orato Asobo (Japan)"
quizdais  "Quiz Daisousa Sen - The Last Count Down"
quizhq    "Quiz HQ (Japan)"
qjinsei   "Quiz Jinsei Gekijoh (Japan)"
quizkof   "Quiz King of Fighters"
